,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
115,10000,116001,[0.96646808 0.98286256 0.93300134 0.94771839],[0.99377254 0.99682703 0.97479779 0.98191387],[0.93757485 0.92187196 0.90836375 0.90436272],[0.98297164 0.97377845 0.96333184 0.95935364],[0.94179506 0.91822564 0.90724915 0.89248522],[0.98715561 0.97718364 0.96389834 0.95367383]
116,10000,117001,[0.96482545 0.9677014  0.94438381 0.94713999],[0.99372858 0.9923871  0.98004938 0.98297903],[0.93576218 0.92016787 0.91492546 0.91014259],[0.98352404 0.97382539 0.96730803 0.96383576],[0.9460237  0.92689598 0.89344819 0.89415062],[0.98747626 0.98143782 0.95214696 0.95515136]
117,10000,118001,[0.96356102 0.96858768 0.94371599 0.94642947],[0.99314514 0.99372904 0.97940783 0.98258083],[0.94672255 0.92542658 0.91228655 0.89348739],[0.98558499 0.97657485 0.96254414 0.9539607 ],[0.94303351 0.93719326 0.91915146 0.8993081 ],[0.98586299 0.98060319 0.96988571 0.95920295]
118,10000,119001,[0.96571162 0.96656809 0.94244267 0.9441026 ],[0.99314217 0.99362615 0.98054468 0.98051364],[0.93391761 0.91435632 0.9245461  0.91533527],[0.98130459 0.96935255 0.96540081 0.96845107],[0.94708817 0.93268243 0.91488849 0.90056713],[0.98920699 0.98096138 0.95992221 0.95639011]
119,10000,120001,[0.96028364 0.96784059 0.9450907  0.95034382],[0.99243794 0.99340901 0.98100815 0.98330797],[0.94155259 0.94056343 0.91028734 0.88415895],[0.98593042 0.98212633 0.96350944 0.95127809],[0.95932611 0.93243165 0.91415868 0.89734895],[0.99095147 0.98167035 0.96281146 0.9632064 ]
120,10000,121001,[0.96423701 0.97054404 0.9279379  0.94505303],[0.99372142 0.99386802 0.97227296 0.98067185],[0.93363385 0.93476029 0.90710975 0.90304678],[0.98359289 0.98345995 0.95577591 0.95772329],[0.93907497 0.9217505  0.91139133 0.90102295],[0.98689821 0.98095795 0.96460131 0.96796678]
121,10000,122001,[0.97595023 0.97018852 0.94005964 0.94330082],[0.99643545 0.99364585 0.97857017 0.98105762],[0.94414523 0.9154449  0.91496615 0.91093557],[0.98531635 0.97440576 0.96029555 0.96158837],[0.93564795 0.94038211 0.8972814  0.90272138],[0.98432336 0.98238103 0.95583005 0.95731709]
122,10000,123001,[0.97393715 0.96761478 0.94461245 0.94584536],[0.99657916 0.99402696 0.97962018 0.98205087],[0.9499204  0.9214386  0.89603368 0.91077301],[0.98916646 0.97606779 0.95729398 0.96467208],[0.93680924 0.93919319 0.89670206 0.88993719],[0.98285047 0.984162   0.96218083 0.95063573]
123,10000,124001,[0.97633333 0.96652185 0.94115318 0.94337062],[0.99679014 0.99331986 0.97828173 0.98051528],[0.94970984 0.93715553 0.92853986 0.90125374],[0.98923651 0.98295852 0.97277744 0.95778106],[0.94265019 0.92696405 0.90306034 0.89502903],[0.98693835 0.98037516 0.95734307 0.9597113 ]
124,10000,125001,[0.96619015 0.96993723 0.94271215 0.94860707],[0.99418041 0.99373167 0.98005799 0.98229794],[0.95008001 0.92940686 0.92401281 0.89764806],[0.98836655 0.98009414 0.9633776  0.95931834],[0.95375592 0.92852437 0.91692356 0.90791086],[0.98804745 0.98201714 0.96636548 0.96700621]
