,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
97,20000,98001,[0.72527592 0.77870766 0.65075722],[0.79572081 0.85437565 0.70413767],[0.6757087  0.7555474  0.62674784],[0.73447917 0.82695872 0.66594202],[0.66240223 0.7390373  0.61766232],[0.72484082 0.81349605 0.67387572]
98,20000,99001,[0.70155492 0.7835666  0.6547223 ],[0.76325606 0.85804307 0.71280419],[0.67212929 0.7457682  0.61331507],[0.72594234 0.81770799 0.65974738],[0.66823476 0.73861468 0.61995712],[0.73170569 0.80559424 0.6671588 ]
99,20000,100001,[0.69219167 0.78645299 0.64067053],[0.75984373 0.85601432 0.69427665],[0.68638067 0.74148424 0.62517974],[0.74322387 0.80813842 0.66441839],[0.68005318 0.74382013 0.63273666],[0.74416591 0.8143634  0.68833535]
100,20000,101001,[0.69422738 0.78881683 0.64553526],[0.76177552 0.85716431 0.69933446],[0.68575327 0.75169518 0.62967547],[0.74254705 0.81574875 0.67189392],[0.6708952  0.76149729 0.62852464],[0.72527742 0.83120958 0.67726469]
101,20000,102001,[0.69108999 0.78420083 0.64839152],[0.75705994 0.85916264 0.7013654 ],[0.67275424 0.74082185 0.63473343],[0.72688939 0.80359896 0.68043815],[0.66778844 0.75296903 0.6191932 ],[0.72216701 0.82253465 0.6612578 ]
102,20000,103001,[0.6976948  0.78250458 0.65258025],[0.75875731 0.85530517 0.70482048],[0.68655071 0.7589785  0.62715385],[0.74277867 0.83027018 0.66835158],[0.6744972  0.7482647  0.61661267],[0.73399271 0.81846757 0.67153315]
103,20000,104001,[0.69766173 0.77849348 0.65038688],[0.76458203 0.85197427 0.70862038],[0.67259175 0.73851199 0.6119809 ],[0.73236164 0.81004699 0.65165122],[0.66346992 0.75941404 0.62124347],[0.72142314 0.8261263  0.67250484]
104,20000,105001,[0.72716114 0.78418739 0.64340942],[0.79564171 0.85593423 0.69912917],[0.67192987 0.74127804 0.62951477],[0.73157591 0.81196678 0.67788985],[0.6909536  0.74302378 0.6315581 ],[0.74756727 0.8122108  0.67655439]
105,20000,106001,[0.73361347 0.78330938 0.64538362],[0.8027838  0.85771687 0.70149477],[0.68631997 0.74884464 0.62644848],[0.74265658 0.81309651 0.67320786],[0.67394244 0.73707875 0.60522069],[0.74083585 0.81232387 0.66044448]
106,20000,107001,[0.73064158 0.78409943 0.64507192],[0.79913647 0.85824917 0.69895675],[0.66186181 0.7547471  0.63333097],[0.72049594 0.81644859 0.67564524],[0.66346445 0.74192943 0.62602082],[0.7260901 0.8115814 0.6779599]
107,20000,108001,[0.72782988 0.78486074 0.64442795],[0.7916721  0.85676611 0.69518922],[0.68099712 0.76627416 0.62284409],[0.73454908 0.83356527 0.66682136],[0.66638152 0.73979049 0.63052514],[0.72184984 0.80773977 0.67338574]
108,20000,109001,[0.70116665 0.78393745 0.64841175],[0.76530367 0.8575654  0.7006912 ],[0.68320158 0.75037616 0.63366895],[0.74639861 0.82566303 0.67433548],[0.66147123 0.7372971  0.62267637],[0.71760018 0.80639543 0.67205125]
109,20000,110001,[0.71573119 0.78085835 0.6405048 ],[0.78088545 0.85479166 0.6903727 ],[0.68916723 0.75883905 0.61910616],[0.73895581 0.82526399 0.6586014 ],[0.65271867 0.74096629 0.62884316],[0.72124191 0.81369281 0.6782841 ]
110,20000,111001,[0.70137477 0.7863987  0.63845735],[0.76409034 0.85869324 0.68938434],[0.68682214 0.76017331 0.63926987],[0.73595516 0.8286042  0.68075368],[0.6686134  0.74347052 0.62841618],[0.72559384 0.80997877 0.67290938]
111,20000,112001,[0.69602852 0.78716594 0.64421856],[0.76229097 0.85873697 0.69460982],[0.68436093 0.76587943 0.62872565],[0.74173731 0.83330938 0.67139555],[0.6527588  0.73842926 0.61393279],[0.72456664 0.81000442 0.66370802]
112,20000,113001,[0.72790186 0.77811085 0.6465742 ],[0.79696802 0.85332112 0.70319913],[0.66869997 0.7627776  0.62679015],[0.72755759 0.82793422 0.66923743],[0.66907084 0.74144804 0.62375657],[0.73641395 0.81246688 0.67281904]
113,20000,114001,[0.69770091 0.78526734 0.63655577],[0.76153702 0.857141   0.69433589],[0.67886128 0.74689468 0.63853553],[0.73048682 0.81819719 0.68366599],[0.66120654 0.73591813 0.6337411 ],[0.72102639 0.81040992 0.67551499]
114,20000,115001,[0.70201994 0.77002327 0.65025221],[0.76274962 0.84372572 0.70571779],[0.68368449 0.74690956 0.63917363],[0.74433761 0.8163482  0.68465957],[0.68763257 0.74881119 0.622974  ],[0.75018147 0.82173979 0.66696095]
115,20000,116001,[0.72628574 0.79013741 0.64513985],[0.79888471 0.86317533 0.701425  ],[0.67455973 0.7413888  0.62926501],[0.73183193 0.80771329 0.67404032],[0.68280226 0.74455061 0.61521385],[0.74053936 0.82157714 0.66382867]
116,20000,117001,[0.69283323 0.77832626 0.65103659],[0.75922671 0.85446234 0.70644383],[0.67373197 0.75499168 0.63091305],[0.73316651 0.8296505  0.67016473],[0.69004745 0.76400035 0.62170331],[0.74621386 0.84151151 0.67219255]
117,20000,118001,[0.70516122 0.78043606 0.64349424],[0.77208497 0.85638824 0.70021735],[0.68434981 0.74202893 0.62377867],[0.7445654  0.81750773 0.6698313 ],[0.66366292 0.72837073 0.63803492],[0.72129651 0.80118118 0.68536571]
118,20000,119001,[0.6926639  0.77571325 0.63800186],[0.75953892 0.85080079 0.69046026],[0.68136031 0.75893244 0.62895838],[0.74079073 0.82553817 0.67835216],[0.67494942 0.75539427 0.62919647],[0.74692966 0.82966148 0.67643388]
119,20000,120001,[0.72661157 0.77846345 0.64637739],[0.80001096 0.85197755 0.69849213],[0.68125563 0.76616363 0.63570025],[0.73786744 0.83263521 0.67582781],[0.6738598  0.74201313 0.61627365],[0.73761261 0.81939085 0.6637642 ]
120,20000,121001,[0.7251487  0.78175622 0.65026166],[0.79214842 0.85712852 0.70465939],[0.69329819 0.76045663 0.61752556],[0.75053464 0.8269778  0.66382348],[0.66962681 0.73775036 0.61290895],[0.73145416 0.8084652  0.67099048]
121,20000,122001,[0.7216231  0.78295297 0.64888113],[0.78857439 0.85674095 0.70424986],[0.69612172 0.74841153 0.63851392],[0.75865999 0.81381172 0.6793538 ],[0.67707413 0.74701996 0.63043901],[0.73409016 0.81897703 0.67149398]
122,20000,123001,[0.6913401  0.78339025 0.64263861],[0.76067057 0.85624503 0.6951929 ],[0.67222918 0.74510645 0.63299081],[0.72695106 0.80614001 0.67841666],[0.69128646 0.7688795  0.62478503],[0.74645803 0.84163072 0.6755903 ]
123,20000,124001,[0.72479236 0.77829807 0.65079136],[0.79525387 0.85237232 0.70600243],[0.6884884  0.76851247 0.6282233 ],[0.74450524 0.83558968 0.67452729],[0.6743466  0.74163267 0.61146914],[0.73278763 0.81558246 0.65314045]
124,20000,125001,[0.71991407 0.77684903 0.64002131],[0.79018049 0.8509983  0.69534975],[0.70300855 0.75366165 0.6282113 ],[0.7634225  0.81951084 0.66759611],[0.6752201  0.75750129 0.61828104],[0.73559299 0.82749643 0.6618378 ]
125,20000,126001,[0.73141806 0.7787671  0.64470947],[0.79738672 0.84989268 0.69794084],[0.68422915 0.75352858 0.62053822],[0.74151101 0.82217179 0.66560572],[0.66839265 0.73638252 0.62272614],[0.73034071 0.81077068 0.6728783 ]
126,20000,127001,[0.71951402 0.78803666 0.65092515],[0.78600369 0.85913126 0.70656426],[0.68675212 0.75618849 0.617204  ],[0.74299766 0.82870667 0.66210212],[0.65381705 0.75867466 0.62301058],[0.72034002 0.83150436 0.6700679 ]
127,20000,128001,[0.72536598 0.78050213 0.6442258 ],[0.78987553 0.85342004 0.69687645],[0.68360755 0.74335652 0.63680208],[0.74563312 0.81065012 0.68091028],[0.68441598 0.76066942 0.63651261],[0.74855561 0.83539715 0.68428327]
128,20000,129001,[0.70819416 0.78480048 0.64964901],[0.77741453 0.85803834 0.69977873],[0.68185938 0.75422189 0.6264989 ],[0.73996033 0.81938394 0.66787484],[0.67095309 0.73226104 0.62300998],[0.72902512 0.80355777 0.67099342]
129,20000,130001,[0.72524696 0.77747328 0.64618049],[0.79334458 0.84971744 0.70112052],[0.67966647 0.7635778  0.62441054],[0.73262926 0.82852564 0.66625114],[0.66980309 0.75445041 0.61774042],[0.73100201 0.82241517 0.6726443 ]
130,20000,131001,[0.72522479 0.79054207 0.64263796],[0.79465552 0.86216752 0.69532822],[0.6742864  0.75069087 0.63120967],[0.73500081 0.81828625 0.67573096],[0.66959698 0.73665364 0.62322137],[0.7261645  0.806252   0.67741063]
131,20000,132001,[0.73404189 0.78941719 0.64919092],[0.80204653 0.85947038 0.70430281],[0.67827104 0.75507228 0.63249404],[0.74101409 0.82877068 0.67592383],[0.65686383 0.73404235 0.61745882],[0.71918024 0.80740932 0.66168651]
132,20000,133001,[0.69584822 0.78281747 0.65302482],[0.76460054 0.85581631 0.70718465],[0.67460786 0.74265225 0.63616215],[0.73171089 0.81211396 0.6754849 ],[0.68061119 0.75730169 0.62174993],[0.74947189 0.82895348 0.66707218]
133,20000,134001,[0.73668468 0.78288775 0.65388977],[0.80158464 0.85431368 0.70770973],[0.66703122 0.73172291 0.63033622],[0.72660282 0.80205078 0.678748  ],[0.68260283 0.76354821 0.62742493],[0.74654762 0.83604474 0.67170653]
134,20000,135001,[0.70018053 0.78530383 0.64458798],[0.76520525 0.85608166 0.69825774],[0.68630492 0.7480073  0.62292575],[0.74556631 0.81407529 0.6687427 ],[0.67095855 0.73981821 0.62537029],[0.73510455 0.80594892 0.67068743]
135,20000,136001,[0.69474918 0.78263157 0.65054352],[0.76159372 0.85803066 0.70525004],[0.66775708 0.75066305 0.61761288],[0.72415201 0.8164048  0.65746444],[0.68289823 0.74857836 0.6253096 ],[0.74243136 0.81593232 0.66963469]
136,20000,137001,[0.73343717 0.78311955 0.65127428],[0.8000356  0.85627768 0.70407778],[0.68913112 0.7545875  0.62300224],[0.74551581 0.82569833 0.65929674],[0.67924068 0.73669362 0.62975688],[0.74148668 0.80876756 0.68394394]
137,20000,138001,[0.69073219 0.7816946  0.66317067],[0.75389326 0.85503261 0.72776185],[0.67995954 0.75934491 0.61804066],[0.74515295 0.82835882 0.66520428],[0.67468439 0.73977884 0.6044817 ],[0.74040145 0.81205633 0.65107233]
